date,product_id,customer,quantity,unit_price,payment_received
2018-04-29,116,Ashley,12,1.75,23
2018-04-30,116,Mildred,14,1.77,27
2018-05-01,119,Ola,20,1.33,29
2018-05-02,121,Tracy,18,1.27,25
2018-05-03,122,Richard,20,1.52,32
2018-05-04,125,Ralph,16,1.7,29
2018-05-05,122,Anton,2,1.96,6
2018-05-06,117,Bernice,5,1.34,9
2018-05-07,125,Vincent,17,1.03,20
2018-05-08,116,Delores,20,1.21,26
2018-05-09,122,Robert,12,1.36,18
2018-05-10,118,Imogene,15,1.75,28
2018-05-11,117,Lourdes,16,1.04,19
2018-05-12,117,Larry,3,1.01,5
2018-05-13,115,Danny,2,1.72,5
2018-05-14,116,Eleanor,17,1.67,30
2018-05-15,124,Ruth,4,1.91,10
2018-05-16,124,Scott,14,1.8,27
2018-05-17,116,Rosa,1,1.67,4
2018-05-18,118,Andrew,8,1.7,16
2018-05-19,124,Santiago,3,1.48,6
2018-05-20,115,Ralph,16,1.49,26
2018-05-21,122,Joseph,2,1.48,5
2018-05-22,119,Diana,18,1.47,28
2018-05-23,116,Holly,10,1.71,19
2018-05-24,125,Kirsten,1,1.93,4
2018-05-25,122,Rose,5,1.33,9
2018-05-26,120,Starla,8,1.56,14
2018-05-27,115,James,4,1.45,8
2018-05-28,122,Thomas,9,1.49,15
2018-05-29,125,Ashlea,16,1.91,33
2018-05-30,119,Betty,2,1.34,5
2018-05-31,121,Kathy,20,1.32,28
2018-06-01,115,Brenda,6,1.65,12
2018-06-02,124,Gary,14,1.23,19
2018-06-03,118,Loretta,17,1.66,30
2018-06-04,119,Kimberly,20,1.95,41
2018-06-05,123,Zoe,19,1.26,26
2018-06-06,121,Janice,20,1.63,35
2018-06-07,116,Jeffrey,4,1.37,7
2018-06-08,115,Frank,20,1.67,35
2018-06-09,116,Todd,1,1.74,4
2018-06-10,124,Kevin,5,1.06,7
2018-06-11,125,Scott,20,1.08,24
2018-06-12,123,Cammie,4,1.89,10
2018-06-13,115,Kristine,11,1.47,18
2018-06-14,124,David,9,1.71,17
2018-06-15,121,Stanley,20,1.32,28
2018-06-16,122,Richard,17,1.54,28
2018-06-17,120,Krystal,10,1.18,14
2018-06-18,125,Keith,12,1.32,18
2018-06-19,125,Elisabeth,1,1.92,4
2018-06-20,117,Marvin,14,1.77,27
2018-06-21,119,Gladys,20,1.82,38
2018-06-22,120,Larry,9,1.16,12
2018-06-23,115,Ofelia,9,1.55,16
2018-06-24,117,Frances,13,1.91,27
2018-06-25,123,Grant,12,1.95,25
2018-06-26,115,Oma,17,1.42,26
2018-06-27,115,Philip,3,1.9,8
2018-06-28,117,Amber,15,1.48,24
2018-06-29,115,Leo,5,1.46,9
2018-06-30,115,Patricia,8,1.24,12
2018-07-01,117,Margaret,11,1.64,20
2018-07-02,122,Trisha,7,1.24,11
2018-07-03,118,Deborah,7,1.46,12
2018-07-04,118,Maryellen,19,1.57,32
2018-07-05,115,Debora,19,1.63,33
2018-07-06,124,William,18,1.73,33
2018-07-07,122,Robert,3,1.36,6
2018-07-08,120,Frances,13,1.36,20
2018-07-09,125,Marion,7,1.59,13
2018-07-10,117,Patricia,11,1.51,19
2018-07-11,117,Leslie,10,1.3,15
2018-07-12,121,Terry,2,1.14,4
2018-07-13,119,Rachel,6,1.53,11
2018-07-14,125,Susan,3,1.93,8
2018-07-15,116,Joan,1,1.04,3
2018-07-16,122,James,5,1.88,11
2018-07-17,116,Jason,16,1.58,27
2018-07-18,125,Ruth,4,1.59,8
2018-07-19,124,Nina,3,1.53,7
2018-07-20,121,Joshua,6,1.86,13
2018-07-21,120,Clarence,17,1.29,24
2018-07-22,116,Dolores,20,1.73,37
2018-07-23,123,Norma,3,1.9,8
2018-07-24,124,William,15,1.88,30
2018-07-25,121,Robert,9,1.51,16
2018-07-26,125,Juan,14,1.01,16
2018-07-27,125,Estela,11,1.61,20
2018-07-28,124,Queen,4,1.68,9
2018-07-29,122,Vicki,2,1.58,5
2018-07-30,125,Neal,19,1.34,28
2018-07-31,124,Michael,16,1.74,30
2018-08-01,123,Craig,3,1.5,7
2018-08-02,115,Beryl,9,1.8,18
2018-08-03,125,Wilson,13,1.06,16
2018-08-04,122,Joshua,5,1.9,12
2018-08-05,120,Timothy,10,1.07,13
2018-08-06,121,Gail,14,1.88,28
2018-08-07,118,William,13,1.06,16
2018-08-08,120,Wesley,9,1.75,18
2018-08-09,115,Michael,13,1.41,20
2018-08-10,115,Jo,18,1.5,29
2018-08-11,118,Jacque,10,1.97,22
2018-08-12,118,Beatrice,10,1.96,22
2018-08-13,117,Raymond,5,1.54,10
2018-08-14,119,Matthew,7,1.55,13
2018-08-15,120,Cody,18,1.2,24
2018-08-16,125,Heather,8,1.98,18
2018-08-17,121,Jonathan,13,1.57,22
2018-08-18,119,Jean,18,1.29,25
2018-08-19,117,Gary,1,1.68,4
2018-08-20,118,Tasha,7,1.35,11
2018-08-21,115,Scott,17,1.28,24
2018-08-22,115,Kelly,11,1.85,22
2018-08-23,116,Michael,19,1.41,29
2018-08-24,122,Tiffany,15,1.88,30
2018-08-25,118,Martha,9,1.25,13
2018-08-26,122,Michael,19,1.66,34
2018-08-27,122,Melissa,17,1.68,31
2018-08-28,122,Everett,18,1.98,38
2018-08-29,121,Paul,10,1.34,15
2018-08-30,125,In,16,1.26,22
2018-08-31,116,Lawrence,9,1.45,15
2018-09-01,115,Theresa,16,1.31,23
2018-09-02,122,Geneva,14,1.19,19
2018-09-03,122,Ethel,7,1.27,11
2018-09-04,120,Rita,1,1.06,3
2018-09-05,117,Suzanne,5,1.69,10
2018-09-06,121,Latoya,1,1.5,4
2018-09-07,116,Margaret,15,1.53,25
2018-09-08,118,Kenny,14,1.83,28
2018-09-09,125,Cathryn,10,1.01,12
2018-09-10,123,Darwin,10,1.41,16
2018-09-11,120,Anthony,6,1.95,14
2018-09-12,118,Harry,18,1.63,31
2018-09-13,124,Harold,11,1.63,20
2018-09-14,122,Gregory,2,1.56,5
2018-09-15,116,Charles,3,1.35,6
2018-09-16,119,Richard,13,1.71,24
2018-09-17,120,Terry,3,1.65,7
2018-09-18,122,Mark,5,1.02,7
2018-09-19,122,Marietta,10,1.59,18
2018-09-20,122,Lillian,7,1.81,15
2018-09-21,125,Davina,17,1.34,25
2018-09-22,124,Michael,14,1.5,23
2018-09-23,121,Aracelis,20,1.34,29
2018-09-24,125,June,14,1.62,25
2018-09-25,117,David,10,1.35,15
2018-09-26,115,Matthew,11,1.19,15
2018-09-27,125,Elwood,16,1.75,30
2018-09-28,123,Leslie,3,1.57,7
2018-09-29,125,Bradley,3,1.42,6
2018-09-30,123,Tammy,12,1.33,18
2018-10-01,121,Ruby,4,1.37,7
2018-10-02,116,Joel,3,1.25,6
2018-10-03,118,Joyce,2,1.57,5
2018-10-04,123,Eddie,12,1.66,22
2018-10-05,125,Dana,4,1.24,7
2018-10-06,119,Deborah,19,1.37,28
2018-10-07,125,Jesus,3,1.57,7
2018-10-08,118,Carol,13,1.64,23
2018-10-09,121,Timothy,5,1.48,9
2018-10-10,119,Thomas,8,1.92,17
2018-10-11,124,Gina,10,1.39,16
2018-10-12,124,Dustin,17,1.03,20
2018-10-13,122,Harvey,4,1.34,7
2018-10-14,117,Joyce,5,1.14,8
2018-10-15,118,Simon,11,1.67,20
2018-10-16,115,Helen,6,1.84,13
2018-10-17,118,Lessie,8,1.45,14
2018-10-18,125,Thomas,19,1.9,38
2018-10-19,125,Joe,8,1.99,18
2018-10-20,116,Tony,19,1.08,23
2018-10-21,115,Flora,7,1.24,11
2018-10-22,120,Debra,4,1.5,8
2018-10-23,119,Wesley,14,1.63,25
2018-10-24,116,Jason,19,1.07,22
2018-10-25,123,Lisa,10,1.18,14
2018-10-26,116,Marina,16,1.94,33
2018-10-27,120,Robert,6,1.45,11
2018-10-28,124,Marie,20,1.06,23
2018-10-29,115,Pedro,17,1.77,32
2018-10-30,116,Jesse,10,1.21,14
2018-10-31,118,Marie,10,1.08,13
2018-11-01,120,Alicia,11,1.09,14
2018-11-02,115,Karrie,2,1.84,6
2018-11-03,117,Peter,19,1.89,38
2018-11-04,118,Debbie,1,1.09,3
2018-11-05,117,Michael,20,1.19,26
2018-11-06,118,Alyse,1,1.7,4
2018-11-07,118,Therese,18,1.68,32
2018-11-08,121,David,20,1.63,35
2018-11-09,121,Gearldine,3,1.53,7
2018-11-10,116,Jessica,15,1.74,28
2018-11-11,115,Jill,4,1.15,7
2018-11-12,123,Theodore,12,1.87,24
2018-11-13,117,Alan,16,1.04,19
2018-11-14,123,Edna,5,1.06,7
2018-11-15,122,Mildred,14,1.15,18
2018-11-16,122,Juanita,8,1.91,17
2018-11-17,125,Ruth,5,1.72,11
2018-11-18,118,John,12,1.4,19
2018-11-19,115,David,19,1.17,24
2018-11-20,120,Alene,19,1.76,35
2018-11-21,125,Joan,11,1.84,22
2018-11-22,117,Michele,17,1.67,30
2018-11-23,122,Nancy,1,1.6,4
2018-11-24,125,Ronnie,7,1.88,15
2018-11-25,119,Ann,6,1.27,10
2018-11-26,117,Erica,12,1.52,20
2018-11-27,123,Jane,18,1.02,20
2018-11-28,123,Brian,6,1.6,12
2018-11-29,123,Howard,15,1.52,25
2018-11-30,119,Nicholas,1,1.67,4
2018-12-01,123,Kristen,9,1.42,15
2018-12-02,117,Joseph,3,1.62,7
2018-12-03,122,Diane,10,1.7,19
2018-12-04,120,Richard,19,1.23,25
2018-12-05,119,Thomas,16,1.64,28
2018-12-06,123,William,2,1.32,5
2018-12-07,118,Ann,2,1.22,4
2018-12-08,119,Barbara,7,1.29,11
2018-12-09,115,Jason,15,1.47,24
2018-12-10,117,June,3,1.59,7
2018-12-11,119,Cathie,13,1.62,23
2018-12-12,121,Leola,14,1.28,20
2018-12-13,119,Connie,9,1.52,16
2018-12-14,122,Phyllis,18,1.19,23
2018-12-15,124,Kevin,19,1.98,40
2018-12-16,115,Donald,2,1.4,5
2018-12-17,115,Joseph,5,1.3,9
2018-12-18,123,Richard,18,1.97,38
2018-12-19,120,Eric,13,1.87,26
2018-12-20,119,Yvette,11,1.27,16
2018-12-21,122,Terrance,4,1.77,9
2018-12-22,122,Gregory,1,1.22,3
2018-12-23,117,Kathryn,19,1.41,29
2018-12-24,120,Steven,15,1.07,18
2018-12-25,117,Ricardo,13,1.04,15
2018-12-26,115,Jonathan,8,1.17,11
2018-12-27,122,Genevieve,18,1.31,25
2018-12-28,120,Brian,5,1.86,11
2018-12-29,119,Robin,8,1.09,11
2018-12-30,120,Denise,14,1.87,28
2018-12-31,115,William,12,1.18,16
2019-01-01,115,Tammy,9,1.27,13
2019-01-02,117,Karen,9,1.84,19
2019-01-03,123,Isaiah,15,1.28,21
2019-01-04,122,Christopher,10,1.68,19
2019-01-05,119,William,12,1.33,18
2019-01-06,116,Catherine,9,1.95,20
2019-01-07,116,Annette,14,1.96,29
2019-01-08,122,Tracy,14,1.44,22
2019-01-09,121,Frank,16,1.18,21
2019-01-10,122,Brian,10,1.6,18
2019-01-11,115,Shelley,10,1.45,17
2019-01-12,121,Michael,17,1.5,27
2019-01-13,125,Julia,3,1.83,7
2019-01-14,116,James,12,1.94,25
2019-01-15,121,Katelyn,5,1.99,12
2019-01-16,123,Daniel,16,1.51,26
2019-01-17,124,Rafael,1,1.34,3
2019-01-18,118,Raymond,1,1.14,3
2019-01-19,121,Rachel,18,1.32,26
2019-01-20,115,Patricia,1,1.9,4
2019-01-21,119,Christine,6,1.49,11
2019-01-22,117,Gerald,3,1.53,7
2019-01-23,121,Kathleen,13,1.48,21
2019-01-24,118,Nathaniel,19,1.3,27
2019-01-25,116,Cody,17,1.6,29
2019-01-26,125,Donna,16,1.57,27
2019-01-27,120,Melinda,4,1.14,7
2019-01-28,121,David,19,1.33,27
2019-01-29,115,John,15,1.81,29
2019-01-30,116,Katie,9,1.59,16
2019-01-31,120,Keenan,3,1.05,5
2019-02-01,124,Tamara,18,1.64,31
2019-02-02,121,Grover,5,1.29,8
2019-02-03,118,Betty,19,1.18,24
2019-02-04,121,Leland,20,1.19,26
2019-02-05,116,Dawn,16,1.28,22
2019-02-06,121,Douglas,10,1.67,19
2019-02-07,115,Yolanda,11,1.98,24
2019-02-08,119,Courtney,11,1.68,20
2019-02-09,120,Cathy,17,1.56,29
2019-02-10,122,Steven,19,1.65,33
2019-02-11,122,Floyd,19,1.61,33
2019-02-12,120,Teresa,17,1.41,26
2019-02-13,118,Mario,3,1.02,5
2019-02-14,122,Irving,2,1.24,4
2019-02-15,116,Lisa,15,1.42,23
2019-02-16,115,George,8,1.91,17
2019-02-17,122,Dorothy,12,1.48,20
2019-02-18,122,Mary,7,1.3,11
2019-02-19,121,Charles,12,1.08,15
2019-02-20,119,Linda,6,1.73,12
2019-02-21,115,Judy,6,1.36,10
2019-02-22,125,Jerome,7,1.21,10
2019-02-23,119,Florence,17,1.04,20
2019-02-24,124,Elaine,12,1.19,16
2019-02-25,119,Annie,4,1.65,9
2019-02-26,125,Antoinette,9,1.18,13
2019-02-27,116,Michael,6,1.92,14
2019-02-28,117,Kate,15,1.18,20
2019-03-01,115,David,17,1.09,21
2019-03-02,115,James,19,1.7,34
2019-03-03,117,Denny,17,1.27,24
2019-03-04,117,Marjorie,9,1.83,18
2019-03-05,124,Judith,5,1.4,9
2019-03-06,119,Richard,19,1.09,23
2019-03-07,115,Tamara,4,1.54,8
2019-03-08,117,Lorene,16,1.21,21
2019-03-09,124,Austin,20,1.78,38
2019-03-10,125,Becky,6,1.93,14
2019-03-11,121,Gary,15,1.52,25
2019-03-12,121,Michael,2,1.73,5
2019-03-13,120,Angela,11,1.48,18
2019-03-14,125,Jamie,16,1.52,26
2019-03-15,123,Marlin,20,1.77,37
2019-03-16,123,Kevin,18,1.2,24
2019-03-17,117,Jan,8,1.11,11
2019-03-18,116,Jody,4,1.51,8
2019-03-19,118,Jimmie,17,1.23,23
2019-03-20,116,Robert,17,1.5,28
2019-03-21,125,Glenda,1,1.35,3
2019-03-22,117,Charlotte,1,1.8,4
2019-03-23,120,Henrietta,19,1.49,30
2019-03-24,123,Rose,14,1.23,19
2019-03-25,119,Francisco,14,1.99,30
2019-03-26,122,James,17,1.03,20
2019-03-27,119,Michael,20,1.94,41
2019-03-28,123,Anthony,12,1.28,17
2019-03-29,118,Pamela,1,1.26,3
2019-03-30,120,William,7,1.07,9
2019-03-31,123,Emily,17,1.42,26
2019-04-01,120,David,14,1.82,28
2019-04-02,124,John,14,1.86,28
2019-04-03,118,Catherine,19,1.87,38
2019-04-04,125,Michael,2,1.72,5
2019-04-05,121,Lyle,6,1.78,13
2019-04-06,125,Jean,4,1.14,7
2019-04-07,115,Ginger,15,1.52,25
2019-04-08,121,Ethel,13,1.4,20
2019-04-09,118,Jennifer,1,1.41,3
2019-04-10,120,Michael,18,1.38,27
2019-04-11,124,Ellen,20,1.36,29
2019-04-12,120,Leona,15,1.23,20
2019-04-13,123,Brian,12,1.14,16
2019-04-14,119,Patricia,9,1.25,13
2019-04-15,119,Irving,18,1.52,29
2019-04-16,115,Tamika,10,1.25,14
2019-04-17,125,Annette,18,1.23,24
2019-04-18,115,Anthony,3,1.41,6
2019-04-19,125,Steven,20,1.63,35
2019-04-20,122,Harry,4,1.46,8
2019-04-21,118,Shelia,9,1.46,15
2019-04-22,125,Wilma,19,1.23,25
2019-04-23,118,Retha,16,1.99,34
2019-04-24,120,Lisa,5,1.53,10
2019-04-25,117,Lucy,14,1.82,27
2019-04-26,119,Matthew,10,1.4,16
2019-04-27,123,Tony,18,1.6,31
2019-04-28,117,Renita,18,1.13,22
2019-04-29,125,Nicholas,13,1.02,15
2019-04-30,125,James,9,1.29,14
2019-05-01,119,Angela,11,1.63,20
2019-05-02,122,Georgia,5,1.61,10
2019-05-03,125,Caitlin,6,1.69,12
2019-05-04,123,Carlos,19,1.26,26
2019-05-05,115,Mary,4,1.53,8
2019-05-06,121,Marvin,14,1.04,17
2019-05-07,118,Richard,7,1.52,13
2019-05-08,122,Alyce,12,1.73,23
2019-05-09,124,Donna,2,1.11,4
2019-05-10,119,Gary,11,1.1,14
2019-05-11,117,Deanna,8,1.5,14
2019-05-12,118,Fred,15,1.95,31
2019-05-13,121,Doris,17,1.17,22
2019-05-14,122,Susan,16,1.73,30
2019-05-15,123,Brigitte,13,1.05,16
2019-05-16,117,John,1,1.25,3
2019-05-17,115,Denise,18,1.24,24
2019-05-18,125,Jarvis,14,1.35,21
2019-05-19,122,Edward,11,1.33,17
2019-05-20,120,Jaime,10,1.47,17
2019-05-21,122,Gail,8,1.32,13
2019-05-22,116,Kristina,3,1.35,6
2019-05-23,116,Lynn,2,1.94,6
2019-05-24,115,Claire,13,1.62,23
2019-05-25,120,Quinton,19,1.12,23
2019-05-26,120,Brian,17,1.99,36
2019-05-27,123,Brian,17,1.58,29
2019-05-28,119,Paul,16,1.44,25
2019-05-29,118,Lisa,14,1.55,24
2019-05-30,118,Brian,16,1.24,22
2019-05-31,122,Matthew,11,1.13,14
2019-06-01,115,Lucas,18,1.4,27
2019-06-02,118,Leona,1,1.8,4
2019-06-03,116,Maria,17,1.67,30
2019-06-04,116,Albina,13,1.76,25
2019-06-05,120,Eddie,8,1.12,11
2019-06-06,115,Manuel,14,1.99,30
2019-06-07,117,Mary,5,1.73,11
2019-06-08,116,Addie,4,1.4,8
2019-06-09,116,Neil,16,1.31,23
2019-06-10,125,Dennis,4,1.59,8
2019-06-11,117,Leo,9,1.32,14
2019-06-12,121,Richard,14,1.26,20
2019-06-13,119,Gail,1,1.39,3
2019-06-14,118,John,4,1.57,8
2019-06-15,118,Amy,6,1.49,11
2019-06-16,117,Donald,17,1.36,25
2019-06-17,117,Aleida,19,1.86,37
2019-06-18,123,Verda,11,1.91,23
2019-06-19,124,Bradford,8,1.19,12
2019-06-20,115,Curtis,20,1.84,39
2019-06-21,125,Roger,17,1.18,22
2019-06-22,116,Morgan,13,1.38,20
2019-06-23,122,Cleveland,4,1.1,6
2019-06-24,123,Anthony,16,1.74,30
2019-06-25,123,Sean,13,1.27,19
2019-06-26,120,Casey,9,1.43,15
2019-06-27,124,Stephen,18,1.05,21
2019-06-28,120,Paulette,6,1.69,12
2019-06-29,121,Thomas,20,1.89,40
2019-06-30,118,Susan,12,1.74,23
2019-07-01,116,Stephanie,10,1.56,18
2019-07-02,125,Laura,6,1.75,12
2019-07-03,115,Martha,12,1.35,18
2019-07-04,119,Brandon,2,1.05,4
2019-07-05,118,Charles,6,1.37,10
2019-07-06,117,Grace,18,1.47,28
2019-07-07,117,Theresa,14,1.07,17
2019-07-08,123,Floyd,13,1.54,22
2019-07-09,119,David,1,1.56,4
2019-07-10,125,Isela,4,1.46,8
2019-07-11,116,Robert,7,1.12,10
2019-07-12,117,Ted,2,1.81,6
2019-07-13,125,Ruby,20,1.74,37
2019-07-14,124,Freda,18,1.19,23
2019-07-15,121,Gerald,12,1.57,21
2019-07-16,115,Jodi,10,1.43,16
2019-07-17,119,Jonathan,13,1.21,18
2019-07-18,119,Samuel,5,1.38,9
2019-07-19,120,Marilyn,16,1.17,21
2019-07-20,118,Ann,2,1.24,4
2019-07-21,125,Duane,6,1.34,10
2019-07-22,116,Maria,11,1.47,18
2019-07-23,115,Myra,16,1.06,19
2019-07-24,124,Cecelia,3,1.97,8
2019-07-25,119,William,13,1.21,18
2019-07-26,120,Myrtle,16,1.55,27
2019-07-27,123,George,11,1.59,19
2019-07-28,121,Brenda,5,1.33,9
2019-07-29,115,Roberta,4,1.96,10
2019-07-30,116,Joseph,14,1.82,27
2019-07-31,117,Roy,5,1.62,10
2019-08-01,125,Tiffany,15,1.53,25
2019-08-02,117,Heather,16,1.81,31
2019-08-03,122,Annette,4,1.95,10
2019-08-04,125,Diane,15,1.82,29
2019-08-05,118,Kenneth,7,1.05,9
2019-08-06,125,Lucie,14,1.57,24
2019-08-07,119,Cameron,3,1.23,6
2019-08-08,115,Yolanda,1,1.99,4
2019-08-09,120,Sherri,20,1.68,36
2019-08-10,123,Marvin,19,1.53,31
2019-08-11,122,Audrey,9,1.71,17
2019-08-12,117,Michael,2,1.7,5
2019-08-13,118,Shalonda,18,1.03,20
2019-08-14,120,Barbara,15,1.15,19
2019-08-15,117,Monte,19,1.39,28
2019-08-16,117,Pauline,13,1.99,28
2019-08-17,121,Harley,14,1.25,19
2019-08-18,123,Robin,12,1.71,22
2019-08-19,118,Megan,2,1.42,5
2019-08-20,118,Linda,4,2,10
2019-08-21,121,Timothy,2,1.45,5
2019-08-22,116,Nancy,3,1.31,6
2019-08-23,125,Ernest,18,1.12,22
2019-08-24,123,Stephen,20,1.86,39
2019-08-25,122,Brent,4,1.49,8
2019-08-26,115,Shirley,9,1.22,13
2019-08-27,118,John,3,1.12,5
2019-08-28,121,Jose,19,1.55,31
2019-08-29,120,Maggie,5,1.01,7
2019-08-30,123,Joel,13,1.74,25
2019-08-31,121,Eva,10,1.22,14
2019-09-01,118,Traci,9,1.47,15
2019-09-02,117,Kathleen,16,1.16,21
2019-09-03,121,Mike,6,1.97,14
2019-09-04,115,Sam,19,1.81,36
2019-09-05,119,Marvin,11,1.03,13
2019-09-06,124,Mark,20,1.31,28
2019-09-07,124,Damien,5,1.05,7
2019-09-08,115,Michael,7,1.76,14
2019-09-09,122,Solomon,5,1.93,12
2019-09-10,124,Sandra,6,1.65,12
2019-09-11,121,Emily,20,1.65,35
2019-09-12,122,Cheryl,19,1.74,35
2019-09-13,115,Terri,4,2,10
2019-09-14,121,Luz,17,1.51,28
2019-09-15,116,Heather,19,1.36,28
2019-09-16,124,Brittany,4,1.99,10
2019-09-17,124,Tim,13,1.97,28
2019-09-18,124,Kathryn,7,1.89,15
2019-09-19,120,Robert,1,1.74,4
2019-09-20,115,Lisa,6,1.65,12
2019-09-21,121,Harry,11,1.6,20
2019-09-22,116,James,20,1.97,41
2019-09-23,120,Larry,2,1.57,5
2019-09-24,117,Norman,17,1.66,30
2019-09-25,120,Paul,1,1.73,4
2019-09-26,119,Susan,12,1.45,19
2019-09-27,120,Dennis,18,1.51,29
2019-09-28,121,Carrie,11,1.52,19
2019-09-29,118,John,3,1.25,6
2019-09-30,120,Anita,7,1.02,9
2019-10-01,118,Minnie,16,1.27,22
2019-10-02,123,Rita,12,2,26
2019-10-03,116,Wayne,19,1.4,29
2019-10-04,115,Johnnie,15,1.39,23
2019-10-05,119,Sally,3,1.91,8
2019-10-06,120,Joanne,10,1.24,14
2019-10-07,125,Justin,19,1.46,30
2019-10-08,125,William,6,1.37,10
2019-10-09,123,Myrtle,17,1.72,31
2019-10-10,121,Bianca,16,1.79,31
2019-10-11,123,Natasha,8,1.9,17
2019-10-12,119,Shane,14,1.31,20
